TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
1777,LuxR-like protein,Pseudomonas putida ,Arthrobacter siderocapsulatus,A8MN41,--,16585751; 18599835,DNA binding,Not Available
1778,Ribosome maturation factor RimP,Bacillus cereus,,A0A063CC81,--,25301660,Not Available,Not Available
1779,S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS),Bacillus cereus,,A0A063CL35,--,25301660,"Iron ion binding, S-ribosylhomocysteine lyase activity",Not Available
1780,Surface composition regulator,Pectobacterium parmentieri,,A0A0H3I8L4,--,23045508; 30326842,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1781,S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS),Edwardsiella tarda ,Strain EIB202,C5IWN6,--,19283379; 19865481,"Iron ion binding, S-ribosylhomocysteine lyase activity",Not Available
1782,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pectobacterium parmentieri,,A0A0H3ICJ6,--,23045508; 30326842,Acetyl glucosaminyl transferase activity,Not Available
1783,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase (Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB) (EC 3.5.1.-)",Pseudomonas panacis,,A0A5M9I3H1,--,32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1784,Motility quorum-sensing regulator MqsR,Pseudomonas fluorescens,,A0A0N9WTK9,--,29769716,Not Available,Not Available
1785,Ribosome maturation factor RimM,Bacillus cereus,,A0A063CCA6,--,25301660,ribosome binding,Not Available
1786,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Staphylococcus aureus,,W8TQA2,--,26048971; 32562543; 33052925,Acetyl glucosaminyl transferase activity,Not Available
1787,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Trabulsiella odontotermitis,,A0A0L0H1H9,--,26162887,Acetyl glucosaminyl transferase activity,Not Available
1788,"Haemin storage system,  HmsS protein",Yersinia enterocolitica serotype O:8  /  biotype 1B ,Strain NCTC 13174  /  8081,A1JS92,--,17173484,Not Available,Not Available
1789,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lentisphaeria bacterium,,A0A3D1KDG4,--,30148503,Not Available,Not Available
1790,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Acinetobacter baylyi ,Strain ATCC 33305  /  BD413  /  ADP1,Q6FDD8,--,15514110,Acetyl glucosaminyl transferase activity,Not Available
1791,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Candidatus Muproteobacteria bacterium RBG_16_62_13,,A0A1F6T856,--,27774985,Acetyl glucosaminyl transferase activity,Not Available
1792,Motility quorum-sensing regulator MqsR,Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22,,A0A1G0EM28,--,27774985,Not Available,Not Available
1793,Outer membrane N-deacetylase,Trabulsiella odontotermitis,,A0A0L0H2S7,--,26162887,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1794,"Haemin storage system,  HmsF protein",Yersinia enterocolitica serotype O:8  /  biotype 1B ,Strain NCTC 13174  /  8081,A1JSA0,--,17173484,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1795,Hemin storage protein,Trabulsiella odontotermitis,,A0A0L0H272,--,26162887,Not Available,Not Available
1796,Surface composition regulator,Trabulsiella odontotermitis,,A0A0L0GTT1,--,26162887,Not Available,Not Available
1797,Uncharacterized protein,Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22,,A0A1G0EIH8,--,27774985,Not Available,Not Available
1798,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Lentisphaeria bacterium,,A0A3526,--,30148503,Not Available,Not Available
1799,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lentisphaeria bacterium,,A0A3525,--,30148503,Not Available,Not Available
1800,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Lentisphaeria bacterium,,A0A3D1KEA7,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1801,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lentisphaeria bacterium,,A0A3524,--,30148503,Not Available,Not Available
1802,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Lentisphaeria bacterium,,A0A3D1KDU7,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1803,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Chromobacterium haemolyticum,,A0A2T5P4D0,--,29670144,Acetyl glucosaminyl transferase activity,Not Available
1804,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Actinobacillus suis H91-0380,,K0GD63,--,23144422,Acetyl glucosaminyl transferase activity,Not Available
1805,Biofilm PGA synthesis lipoprotein PgaB,Actinobacillus suis H91-0380,,K0G5L0,--,23144422,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1806,Putative inner membrane protein associated with biofilm formation,Escherichia coli O7:K1 ,Strain IAI39  /  ExPEC,A0A0H3MI95,--,19165319,Not Available,Not Available
1807,Uncharacterized protein,Cupriavidus taiwanensis ,Strain DSM 17343  /  BCRC 17206  /  CCUG 44338  /  CIP 107171  /  LMG 19424  /  R1 Ralstonia taiwanensis strain LMG 19424,B2AGD9,--,18490699,Not Available,Not Available
1808,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli O7:K1 ,Strain IAI39  /  ExPEC,A0A0H3MLZ7,--,19165319,Acetyl glucosaminyl transferase activity,Not Available
1809,Surface composition regulator,Yersinia enterocolitica serotype O:8  /  biotype 1B ,Strain NCTC 13174  /  8081,A1JPD4,--,17173484,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1810,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Ralstonia solanaarum CFBP2957,,D8P2G4,--,20550686,Acetyl glucosaminyl transferase activity,Not Available
1811,Putative polysaccharide deacetylase associated with biofilm formation putative lipoprotein (PgaB),Ralstonia solanaarum CFBP2957,,D8P2G3,--,20550686,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1812,Uncharacterized protein,Azospirillum lipoferum ,Strain 4B,G7Z9K0,--,22216014,Not Available,Not Available
1813,Putative intercellular adhesion protein A (Biofilm formation),Vibrio alginolyticus ,Strain ATCC 17749  /  DSM 2171  /  NBRC 15630  /  NCIMB 1903  /  NCTC 12160  /  XII-53,A0A2I3C1P9,--,25635021,Not Available,Not Available
1814,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Firmicutes bacterium,,A0A350X1A8,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1815,Uncharacterized protein,Firmicutes bacterium,,A0A3D5Z757,--,30148503,Not Available,Not Available
1816,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonas oryzae pv. oryzae ,Strain PXO99A,A0A0K0GHM1,--,18452608,Acetyl glucosaminyl transferase activity,Not Available
1817,Uncharacterized protein,Xanthomonas oryzae pv. oryzae ,Strain PXO99A,A0A0K0GHA3,--,18452608,Not Available,Not Available
1818,Uncharacterized protein,Firmicutes bacterium,,A0A3B8K032,--,30148503,Not Available,Not Available
1819,ABC transporter substrate-binding protein,Enterobacter asburiae,,A0A0F3XQA0,--,27284137,Not Available,Not Available
1820,Biofilm PGA synthesis protein PgaD,Escherichia coli O9:H4 ,Strain Hs,A0A7I6GYH4,--,18676672,Not Available,Not Available
1821,"Toxin-antitoxin system,  toxin component",Lentilactobacillus kisonensis DSM 19906 = JCM 15041,,A0A0R1NQW4,--,26415554,Not Available,Not Available
1822,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Escherichia coli O9:H4 ,Strain Hs,A0A7I6H0P8,--,18676672,Acetyl glucosaminyl transferase activity,Not Available
1823,Uncharacterized protein,Escherichia coli O9:H4 ,Strain Hs,A0A7I6H8P9,--,18676672,Not Available,Not Available
1824,Outer membrane N-deacetylase,Enterobacter asburiae,,A0A143I3T0,--,27284137,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1825,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Firmicutes bacterium,,A0A350X1A9,--,30148503,Not Available,Not Available
1826,Uncharacterized protein,Xanthomonadaceae bacterium,,A0A3C0HHE3,--,30148503,Not Available,Not Available
1827,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD (Fragment)",Xanthomonadaceae bacterium,,A0A354YBS0,--,30148503,Not Available,Not Available
1828,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Xanthomonadaceae bacterium,,A0A354YE77,--,30148503,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1829,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonadaceae bacterium,,A0A354YDH4,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
1830,Biofilm PGA synthesis lipoprotein pgaB (EC 3.-.-.-),Escherichia coli O9:H4 ,Strain Hs,A0A7I6H1T4,--,18676672,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1831,Surface composition regulator,Cronobacter sakazakii 701,,K8CP83,--,23166675,Not Available,Not Available
1832,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter asburiae,,A0A143I3I2,--,27284137,Acetyl glucosaminyl transferase activity,Not Available
1833,Uncharacterized protein,Pusillimona spp. ,Strain T7-7,F4GTJ2,--,21622753,Not Available,Not Available
1834,Motility quorum-sensing regulator MqsR,Betaproteobacteria bacterium RBG_16_56_24,,A0A1F3WWN2,--,27774985,Not Available,Not Available
1835,Uncharacterized protein,Rahnella spp. ,Strain Y9602,A0A0H3FP36,--,22461551,Not Available,Not Available
1836,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pusillimona spp. ,Strain T7-7,F4GTJ1,--,21622753,Acetyl glucosaminyl transferase activity,Not Available
1837,Polysaccharide deacetylase,Pusillimona spp. ,Strain T7-7,F4GTJ0,--,21622753,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1838,Type II toxin-antitoxin system MqsR family toxin,Firmicutes bacterium,,A0A7C7D9P2,--,32123542,Not Available,Not Available
1839,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonadaceae bacterium SCN 69-123,,A0A1E4L167,--,26031303,Acetyl glucosaminyl transferase activity,Not Available
1840,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Alphaproteobacteria bacterium,,A0A537MT94,--,31110364,Acetyl glucosaminyl transferase activity,Not Available
1841,Surface composition regulator,Salmonella enterica subspp. indica serovar ,"6, 14, 25:z10:1, 2, 7 Str. 1121",V1H6C0,--,24158624,Not Available,Not Available
1842,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Chromatiales bacterium,,A0A7C1WNC0,--,31911466,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1843,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-) (Fragment)",Chromatiales bacterium,,A0A7C2AD10,--,31911466,Acetyl glucosaminyl transferase activity,Not Available
1844,Response receiver-modulated diguanylate cyclase,Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q746Z1,--,14671304,Diguanylate cyclase activity,Not Available
1845,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xanthomonas gardneri ATCC 19865,,F0CCM8,--,21396108,Acetyl glucosaminyl transferase activity,Not Available
1846,Response receiver-modulated diguanylate cyclase,Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74AN9,--,14671304,Diguanylate cyclase activity,Not Available
1847,"Sensor diguanylate cyclase,  GAF domain-containing",Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74ER5,--,14671304,Diguanylate cyclase activity,Not Available
1848,Response receiver-modulated diguanylate cyclase,Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74CL4,--,14671304,Diguanylate cyclase activity,Not Available
1849,"Sensor diguanylate cyclase,  GAF domain-containing",Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74C06,--,14671304,Diguanylate cyclase activity,Not Available
1850,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Sporolactobacillus laevolacticus DSM 442,,V6J0L8,--,24371202,Acetyl glucosaminyl transferase activity,Not Available
1851,Surface composition regulator,Salmonella enterica subspp. indica serovar ,"6, 14, 25:z10:1, 2, 7 Str. 1121",V1GMT8,--,24158624,Not Available,Not Available
1852,"Diguanylate cyclase,  HAMP domain-containing",Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q747B1,--,14671304,Diguanylate cyclase activity,Not Available
1853,"Diguanylate cyclase,  CAP_ED domain-containing",Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74F01,--,14671304,Diguanylate cyclase activity,Not Available
1854,Diguanylate cyclase,Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74CW7,--,14671304,Diguanylate cyclase activity,Not Available
1855,Uncharacterized protein,Xanthomonas gardneri ATCC 19865,,F0CCM7,--,21396108,Not Available,Not Available
1856,Hemin storage system protein,Enterobacter spp. Ag1,,J1GD16,--,22965099,Not Available,Not Available
1857,Putative transmembrane protein,Ralstonia solanacearum FQY_4,,M4UJ22,--,23661471,Not Available,Not Available
1858,Biofilm PGA synthesis deacetylase PgaB (EC 3.-.-.-),Ralstonia solanacearum FQY_4,,M4ULZ0,--,23661471,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1859,"Toxin-antitoxin system,  toxin component",Candidatus melainabacteria bacterium GWF2_37_15,,A0A1F6PUW9,--,27774985,Not Available,Not Available
1860,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Enterobacter spp. Ag1,,J0M9E9,--,22965099,Acetyl glucosaminyl transferase activity,Not Available
1861,Outer membrane N-deacetylase,Enterobacter spp. Ag1,,J1GD54,--,22965099,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1862,Uncharacterized protein,Caldanaerobacter subterraneus,,A0A357VJY1,--,30148503,Not Available,Not Available
1863,PleD,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,P73011,--,8905231,Diguanylate cyclase activity,Not Available
1864,Surface composition regulator,Salmonella typhimurium ,Strain ATCC 68169  /  UK-1,A0A3Z6P281,--,21622747,Not Available,Not Available
1865,Sll0779 protein,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,Q55955,--,8905231,Diguanylate cyclase activity,Not Available
1866,Regulatory components of sensory transduction system,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,P72790,--,8905231,Diguanylate cyclase activity,Not Available
1867,Uncharacterized protein,Cupriavidus spp. GA3-3,,R7XF68,--,23833131,Not Available,Not Available
1868,Slr0302 protein,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,Q55906,--,8905231,Diguanylate cyclase activity,Not Available
1869,Slr0829 protein,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,Q55414,--,8905231,Diguanylate cyclase activity,Not Available
1870,Uncharacterized protein,Candidatus Rokubacteria bacterium RIFCSPLOWO2_12_FULL_71_19,,A0A1F7PI81,--,27774985,Not Available,Not Available
1871,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Chromatiales bacterium,,A0A7C2B5U1,--,31911466,Not Available,Not Available
1872,Regulatory components of sensory transduction system,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,P73036,--,8905231,Diguanylate cyclase activity,Not Available
1873,Putative bacteriophage related protein,Lactobacillus acidophilus ,Strain ATCC 700396  /  NCK56  /  N2  /  NCFM,Q5FJC7,--,15671160,Not Available,Not Available
1874,PleD gene product,Synechocystis spp. ,Strain PCC 6803  /  Kazusa,P74658,--,8905231,Diguanylate cyclase activity,Not Available
1875,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Ralstonia solanacearum FQY_4,,M4UIL5,--,23661471,Acetyl glucosaminyl transferase activity,Not Available
1876,Uncharacterized protein,Mammaliicoccus lentus ,Staphylococcus lentus,A0A178PEY6,--,27375578,Not Available,Not Available
1877,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Achromobacter spp. AONIH1,,A0A2I8DJJ4,--,29437920,Acetyl glucosaminyl transferase activity,Not Available
1878,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Acinetobacter spp. COS3,,U7GZZ6,--,24356826,Not Available,Not Available
1879,Surface composition regulator,Yersinia pseudotuberculosis serotype O:1b ,Strain IP 31758,A0A0U1R214,--,17784789,"DNA binding, DNA-directed DNA polymerase activity",Not Available
1880,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Acinetobacter baumannii ,Strain MDR-ZJ06,A0A654L1R9,--,21788470,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1881,Putative biofilm PGA synthesis protein PgaD,Yersinia pseudotuberculosis serotype O:1b ,Strain IP 31758,A0A0U1QUY6,--,17784789,Not Available,Not Available
1882,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas spp. MPC6,,A0A5B7VRQ1,--,31178851; 31089984,Not Available,Not Available
1883,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Yersinia pseudotuberculosis serotype O:1b ,Strain IP 31758,A0A0U1QVU7,--,17784789,Acetyl glucosaminyl transferase activity,Not Available
1884,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Paraburkholderia phytofirmans OLGA172,,A0A160FHA6,--,27063562,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1885,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Serratia marcescens,,A0A221DT18,--,28536292,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1886,Uncharacterized protein,Thioalkalivibrio sulfidiphilus ,Strain HL-EbGR7,B8GT53,--,21475584,Not Available,Not Available
1887,Toxin,Desulfobacteraceae bacterium,,A0A3N5RWQ1,--,30086797,Not Available,Not Available
1888,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Variovorax spp. SCN 67-85,,A0A1E4IRH5,--,26031303,Not Available,Not Available
1889,Uncharacterized protein,Acinetobacter venetianus,,A0A150HS68,--,26902269,Not Available,Not Available
1890,GGDEF domain-containing protein,Aquifex aeolicus ,Strain VF5,O66743,--,9537320,Diguanylate cyclase activity,Not Available
1891,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Variovorax spp. SCN 67-85,,A0A1E4IR53,--,26031303,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1892,GGDEF domain-containing protein,Aquifex aeolicus ,Strain VF5,O66912,--,9537320,Diguanylate cyclase activity,Not Available
1893,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Variovorax spp. SCN 67-85,,A0A1E4IR81,--,26031303,Acetyl glucosaminyl transferase activity,Not Available
1894,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Variovorax spp. CF313,,J3CAZ9,--,23045501,Acetyl glucosaminyl transferase activity,Not Available
1895,GGDEF domain-containing protein,Aquifex aeolicus ,Strain VF5,O66623,--,9537320,Diguanylate cyclase activity,Not Available
1896,Hemin storage protein,Thioalkalivibrio sulfidiphilus ,Strain HL-EbGR7,B8GTH8,--,21475584,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1897,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Serratia marcescens,,A0A7D6C0J8,--,21967170,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1898,Putative hemin storage signal peptide protein,Ralstonia solanacearum,Strain GMI1000 Pseudomonas solanacearum,Q8XT28,--,11823852,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1899,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Desulfobacteraceae bacterium,,A0A3A4RX93,--,28644444,Acetyl glucosaminyl transferase activity,Not Available
1900,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. FH1,,W2DS81,--,24286439,Acetyl glucosaminyl transferase activity,Not Available
1901,Uncharacterized protein,Marine gamma proteobacterium HTCC2143,,A0YHD9,--,20601481,Not Available,Not Available
1902,Uncharacterized protein,Desulfobacteraceae bacterium,,A0A7C1DMQ6,--,31911466,Not Available,Not Available
1903,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Syntrophotalea carbinolica ,Strain DSM 2380  /  NBRC 103641  /  GraBd1 Pseudomonas solanacearum,Q3A0T2,--,23227809,Acetyl glucosaminyl transferase activity,Not Available
1904,PgaD,Syntrophotalea carbinolica ,Strain DSM 2380  /  NBRC 103641  /  GraBd1 Pseudomonas solanacearum,Q3A0T3,--,23227809,Not Available,Not Available
1905,Uncharacterized protein,Pseudomonas spp. FH1,,W2D7M0,--,24286439,Not Available,Not Available
1906,Type II toxin-antitoxin system MqsR family toxin,Xylella fastidiosa subspp. multiplex,,A0A6I2KF74,--,31704683,Not Available,Not Available
1907,Outer membrane N-deacetylase,Pseudomonas spp. FH1,,W2DUA0,--,24286439,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1908,Uncharacterized protein,Pseudomonas spp. FH1,,W2DS47,--,24286439,Not Available,Not Available
1909,Uncharacterized protein,Nitrospirae bacterium RBG_16_64_22,,A0A1G1HY41,--,27774985,Not Available,Not Available
1910,Outer membrane polysaccharide N-deacetylase,Syntrophotalea carbinolica ,Strain DSM 2380  /  NBRC 103641  /  GraBd1 Pseudomonas solanacearum,Q3A0T1,--,23227809,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1911,Surface composition regulator,Edwardsiella anguillarum ET080813,,A0A076LXT7,--,22590641,Not Available,Not Available
1912,Uncharacterized protein,Spirochaetae bacterium HGW-Spirochaetae-9,,A0A2N1R0F0,--,28350393,Not Available,Not Available
1913,Uncharacterized protein,Pseudomonas spp. GM24,,J3FKT9,--,23045501,Not Available,Not Available
1914,Uncharacterized protein,Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16,,A0A1F9MB73,--,27774985,Not Available,Not Available
1915,Probable transmembrane protein,Ralstonia solanacearum,Strain GMI1000 Pseudomonas solanacearum,Q8XT26,--,11823852,Not Available,Not Available
1916,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450,,A0A1G3F5W8,--,27774985,Acetyl glucosaminyl transferase activity,Not Available
1917,Surface composition regulator,Salmonella enterica subspp. enterica serovar Inverness ,Str. R8-3668,G5NIA2,--,21859443,Not Available,Not Available
1918,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Citrobacter freundii complex spp. CFNIH9,,A0A2I8THL0,--,29437920,Acetyl glucosaminyl transferase activity,Not Available
1919,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Citrobacter freundii complex spp. CFNIH9,,A0A2I8TH49,--,29437920,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1920,Uncharacterized protein,Sporolactobacillus laevolacticus DSM 442,,V6IZ98,--,24371202,Not Available,Not Available
1921,Putative xylanase / chitin deacetylase,Xanthomonas gardneri ATCC 19865,,F0CCM9,--,21396108,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds, Hydrolase activity,  acting on glycosyl bonds",Not Available
1922,"Nucleotide cyclase,  HAMP and GGDEF-related domain-containing",Geobacter sulfurreducens ,Strain ATCC 51573  /  DSM 12127  /  PCA,Q74BT9,--,14671304,Diguanylate cyclase activity,Not Available
1923,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Citrobacter freundii complex spp. CFNIH9,,A0A2I8THC0,--,29437920,Not Available,Not Available
1924,Surface composition regulator,Serratia spp. 14-2641,,A0A1C7WFU5,--,27547538,Not Available,Not Available
1925,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450,,A0A1G3F604,--,27774985,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
1926,Surface composition regulator,Citrobacter freundii complex spp. CFNIH9,,A0A2I8TGS9,--,29437920,Not Available,Not Available
1927,Motility quorum-sensing regulator MqsR,Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450,,A0A1G3FBL9,--,27774985,Not Available,Not Available
1928,Type II toxin-antitoxin system MqsR family toxin,Mesorhizobium huakuii,,A0A7G6T3G4,--,32686981,Not Available,Not Available
1929,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450,,A0A1G3F5W0,--,27774985,Not Available,Not Available
